"1007001";"Brassica oleracea (organism)";
"102259006";"Citrus fruit (substance)";
"102260001";"Peanut butter (substance)";
"102261002";"Strawberry (substance)";
"102262009";"Chocolate (substance)";
"102263004";"Eggs (edible) (substance)";
"102264005";"Cheese (substance)";
"102697003";"Lactalbumin (substance)";
"103597001";"Mentha spicata (organism)";
"107495007";"Family Istiophoridae - billfish (organism)";
"107506004";"Order Pleuronectiformes (organism)";
"107509006";"Family Soleidae - sole (organism)";
"107620000";"Family Solanaceae (organism)";
"11170003";"Vanillin (substance)";
"11320009";"Sucrose (substance)";
"11526002";"Aspartame (substance)";
"116269007";"Maltitol (substance)";
"116274004";"Artificial sweetener (substance)";
"126082008";"Cod liver oil (substance)";
"129560007";"Fruit juice (substance)";
"13041000";"Salvelinus alpinus (organism)";
"13524005";"Grease (substance)";
"13577000";"Nut (substance)";
"14263006";"Prepared fish (substance)";
"15623007";"Oil of cumin (substance)";
"15838006";"Snail (organism)";
"16313001";"Tea (substance)";
"17878000";"Tilapia aurea (organism)";
"19839007";"Sorbitol (substance)";
"20264007";"Acipenser (organism)";
"21592006";"Tartrazine stain (substance)";
"21847005";"Oil (substance)";
"21950009";"Acanthocybium solanderi (organism)";
"22119005";"Juglans nigra (organism)";
"226019007";"Brandy (substance)";
"226025006";"Cider (substance)";
"226026007";"Cocoa drink (substance)";
"226031009";"Gin (substance)";
"226032002";"Malted milk drink (substance)";
"226040008";"Martini (substance)";
"226047006";"Port (substance)";
"226054000";"Rum (substance)";
"226057007";"Sherry (substance)";
"226061001";"Tamarind (substance)";
"226062008";"Trail mix (substance)";
"226064009";"Vodka (substance)";
"226367006";"Eicosapentaenoic acid (substance)";
"226476000";"Black tea (substance)";
"226479007";"Carbonated drink (substance)";
"226481009";"Cola drink (substance)";
"226483007";"Lemon-flavored carbonated drink (substance)";
"226484001";"Sugar-free lemonade (substance)";
"226486004";"Tonic water (substance)";
"226491003";"Apple juice (substance)";
"226492005";"Grape juice (substance)";
"226493000";"Grapefruit juice (substance)";
"226495007";"Lemon juice (substance)";
"226496008";"Orange juice (substance)";
"226497004";"Pineapple juice (substance)";
"226498009";"Tomato juice (substance)";
"226515006";"Strong cider (substance)";
"226519000";"Sparkling white wine (substance)";
"226528004";"Whiskey (substance)";
"226543002";"Cracker (substance)";
"226559002";"Bread (substance)";
"226584004";"Rye bread (substance)";
"226593003";"West Indian white bread (substance)";
"226617008";"Porridge (substance)";
"226639005";"Cake (substance)";
"226658001";"Gingerbread (substance)";
"226686009";"Doughnut (substance)";
"226693008";"Greek pastry (substance)";
"226720009";"Arrowroot (substance)";
"226723006";"Buckwheat - cereal (substance)";
"226725004";"Oatmeal (substance)";
"226726003";"Popcorn (substance)";
"226733003";"Tapioca (substance)";
"226734009";"Wheatgerm (substance)";
"226735005";"Noodles (substance)";
"226740002";"Pasta (substance)";
"226743000";"Ravioli (substance)";
"226749001";"Pastry (substance)";
"226756007";"Brown rice (substance)";
"226759000";"White rice (substance)";
"226769006";"Buttermilk (substance)";
"226770007";"Whey (substance)";
"226771006";"Dried milk (substance)";
"226789007";"Breast milk (substance)";
"226793001";"Soya milk (substance)";
"226801004";"Soured cream (substance)";
"226814003";"Cottage cheese (substance)";
"226820002";"Cheddar cheese (substance)";
"226831005";"Feta cheese (substance)";
"226832003";"Gouda cheese (substance)";
"226837009";"Mozzarella cheese (substance)";
"226838004";"Parmesan cheese (substance)";
"226840009";"Roquefort cheese (substance)";
"226848002";"Soft cheese (substance)";
"226849005";"Cream cheese (substance)";
"226852002";"Goats milk soft cheese (substance)";
"226853007";"Ricotta cheese (substance)";
"226855000";"Brie cheese (substance)";
"226863004";"Yogurt (substance)";
"226878006";"Greek yogurt (substance)";
"226888007";"Butter (substance)";
"226890008";"Margarine (substance)";
"226907001";"Palm oil (substance)";
"226911007";"Soya oil (substance)";
"226915003";"Red meat (substance)";
"226916002";"Beef (substance)";
"226917006";"Beef steak (substance)";
"226928005";"Bacon (substance)";
"226934003";"Pork (substance)";
"226942002";"Lamb - meat (substance)";
"226952003";"Veal (substance)";
"226955001";"Chicken - meat (substance)";
"226960002";"Fried chicken nuggets (substance)";
"226963000";"Duck - meat (substance)";
"226967004";"Turkey - meat (substance)";
"227000008";"Tripe (substance)";
"227018006";"Salami (substance)";
"227020009";"Sausage (substance)";
"227021008";"Frankfurter (substance)";
"227025004";"Pork sausage (substance)";
"227029005";"Liver sausage (substance)";
"227031001";"Processed meat (substance)";
"227034009";"Corned beef (substance)";
"227038007";"White fish (substance)";
"227067008";"Halibut (substance)";
"227101009";"Shark - food (substance)";
"227110001";"Fatty fish (substance)";
"227118008";"Pickled herring (substance)";
"227136008";"Sardine (substance)";
"227144008";"Tuna fish (substance)";
"227147001";"Cockles (substance)";
"227151004";"Prawns (substance)";
"227159002";"Fried shrimp (substance)";
"227183005";"Fish roe (substance)";
"227191001";"Tinned fish (substance)";
"227212002";"Alfalfa sprout (substance)";
"227215000";"Artichoke (substance)";
"227218003";"Asparagus (substance)";
"227219006";"Eggplant (substance)";
"227230009";"Curly kale (substance)";
"227234000";"Cassava (substance)";
"227235004";"Celeriac (substance)";
"227239005";"Zucchini (substance)";
"227247005";"Jackfruit (substance)";
"227253005";"Mustard leaf (substance)";
"227254004";"Okra (substance)";
"227255003";"Spring onion (substance)";
"227259009";"Plantain (substance)";
"227260004";"Pumpkin (substance)";
"227265009";"Seaweed (substance)";
"227272005";"Taro (substance)";
"227275007";"Turnip (substance)";
"227276008";"Water chestnut (substance)";
"227282006";"French fries (substance)";
"227313005";"Pulse vegetable (substance)";
"227315003";"Baked beans (substance)";
"227339008";"Beansprouts (substance)";
"227342002";"Black gram beans (substance)";
"227346004";"Chick peas (substance)";
"227350006";"Lentils (substance)";
"227362005";"Red kidney beans (substance)";
"227365007";"Tofu (substance)";
"227375005";"Allspice (substance)";
"227376006";"Anise seed (substance)";
"227381002";"Caraway seed (substance)";
"227382009";"Cardamom (substance)";
"227383004";"Celery seed (substance)";
"227386007";"Chinese five spice (substance)";
"227387003";"Chive - herb (substance)";
"227388008";"Cinnamon (substance)";
"227389000";"Clove (substance)";
"227390009";"Coriander leaf (substance)";
"227391008";"Coriander seed (substance)";
"227392001";"Cumin seed (substance)";
"227395004";"Curry powder (substance)";
"227398002";"Fenugreek seed (substance)";
"227400003";"Ginger (substance)";
"227404007";"Mace (substance)";
"227405008";"Marjoram (substance)";
"227406009";"Mustard seed (substance)";
"227407000";"Oregano (substance)";
"227408005";"Paprika (substance)";
"227409002";"Poppy seed (substance)";
"227410007";"Rosemary (substance)";
"227411006";"Sage (substance)";
"227412004";"Tarragon (substance)";
"227413009";"Thyme (substance)";
"227414003";"Turmeric (substance)";
"227418000";"Blackberries (substance)";
"227419008";"Blackcurrants (substance)";
"227420002";"Clementine (substance)";
"227421003";"Cranberries (substance)";
"227425007";"Figs (substance)";
"227427004";"Gooseberries (substance)";
"227429001";"Guava (substance)";
"227430006";"Lime - fruit (substance)";
"227431005";"Kumquat (substance)";
"227433008";"Lychee (substance)";
