"111088007";"Latex (substance)";
"256259004";"Pollen (substance)";
"256277009";"Grass pollen (substance)";
"256417003";"Horse dander (substance)";
"256440004";"Wasp venom (substance)";
"260152009";"Cat dander (substance)";
"260154005";"Dog dander (substance)";
"264287008";"Animal dander (substance)";
"288328004";"Bee venom (substance)";
"33008008";"Dust (substance)";
"412583005";"Bee pollen (substance)";
"418920007";"Adhesive agent (substance)";
"43921001";"Nickel compound (substance)";
"720687003";"Dust mite protein (substance)";
"84489001";"Mold (organism)";
