;;;;;
"Value Set Name";"SNOMED CT CORE Problem List";;;;
"Code System";"SNOMEDCT";;;;
"OID";"2.16.840.1.113762.1.4.1018.240";;;;
"Type";"Extensional";;;;
"Definition Version";"20221118";;;;
"Steward";"National Library of Medicine";;;;
;;;;;
;"**This update was generated by VSAC to align with code changes published by SNOMEDCT**";;;;
;;;;;
"Expansion Version";"Latest";;;;
"Expanded Code List";;;;;
"Code";"Description";"Code System";"Code System Version";"Code System OID";"TTY"
"1003488007";"Angle closure glaucoma suspect (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1003614009";"Open angle glaucoma suspect (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1003721002";"Pain of joint of knee (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1003722009";"Pain of knee region (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1004081001";"Neonatal disorder due to disease in mother (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"10050004";"Contusion of chest (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"10085004";"Metatarsalgia (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1010215007";"Congenital subluxation of left hip joint (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1010217004";"Congenital subluxation of right hip joint (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1010568002";"Undescended left testicle (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1010569005";"Undescended right testicle (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"10132008";"Burns of multiple sites (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"10184002";"Recurrent cholangitis (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"10197000";"Psychiatric interview and evaluation (procedure)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"10217006";"Third degree perineal laceration (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"1023001";"Apnea (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102447009";"Postmenopausal osteoporosis (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102449007";"Tardive dyskinesia (disorder)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102500002";"Good neonatal condition at birth (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102549009";"Cramp in lower leg associated with rest (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102556003";"Pain in upper limb (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102558002";"Edema of the upper extremity (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102568007";"Paresis of lower extremity (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102570003";"Inguinal pain (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102572006";"Edema of lower extremity (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102576009";"Edema of foot (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102588006";"Chest wall pain (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102589003";"Atypical chest pain (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102594003";"Electrocardiogram abnormal (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102614006";"Generalized abdominal pain (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
"102616008";"Painful mouth (finding)";"SNOMEDCT";"2022-09";"2.16.840.1.113883.6.96";"FN"
